station_name,address,slow_count,fast_count,station_ids,n_ids,confidence,prefixes
부산남부경찰서,부산광역시 남구 황령대로319번가길 81,0,2,ME22C256;BNOH3901;ST601309,3,다른 사업자(강한 의심),BNOH;ME;ST
KB차차차 동대구,대구광역시 동구 안심로59길 36,2,0,AZ100021;EZ002316;YC100016,3,다른 사업자(강한 의심),AZ;EZ;YC
인천인재개발원,인천광역시 서해구 심곡로 98,5,0,HU320010;L3280176;L3320010,3,다른 사업자(강한 의심),HU;L
화곡6-1 공영주차장,서울특별시 강서구 우장산로 114,0,1,ME21B131;DO000052,2,다른 사업자(강한 의심),DO;ME
볏골공원 공영주차장,서울특별시 강서구 까치산로4길 22,0,1,ME21B132;DO000051,2,다른 사업자(강한 의심),DO;ME
보건복지행정타운 충전소,서울특별시 광진구 능동로 400,2,0,AM900008;EP220188,2,다른 사업자(강한 의심),AM;EP
서울 한샘상암사옥 충전소,서울특별시 마포구 성암로 179,10,0,AM900012;EP220314,2,다른 사업자(강한 의심),AM;EP
송파 와이즈더샵,서울특별시 송파구 위례광장로 270,2,0,AM900057;EP240096,2,다른 사업자(강한 의심),AM;EP
가오리 공영주차장,서울특별시 강북구 삼양로107길 30,0,1,BT000021;SE000224,2,다른 사업자(강한 의심),BT;SE
냉천길 공영주차장,서울특별시 강북구 삼양로 230-12,0,1,BT000083;SE000222,2,다른 사업자(강한 의심),BT;SE
선릉이스타빌,서울특별시 강남구 테헤란로52길 15,2,0,CCA00003;TDA00041,2,다른 사업자(강한 의심),CCA;TDA
독산자이하우스,서울특별시 금천구 독산로93길 21,1,0,CCA00004;TDA00039,2,다른 사업자(강한 의심),CCA;TDA
한국수출입은행,서울특별시 영등포구 은행로 38,2,0,CSCS1051;PI700564,2,다른 사업자(강한 의심),CSCS;PI
논현초교 공영주차장,서울특별시 강남구 강남대로120길 33,0,2,CV001306;SE000211,2,다른 사업자(강한 의심),CV;SE
도봉구청,서울특별시 도봉구 마들로 656,0,2,CV004481;ST601293,2,다른 사업자(강한 의심),CV;ST
어린이대공원 후문주차장,서울특별시 광진구 능동로 216,0,1,DO000057;SE000019,2,다른 사업자(강한 의심),DO;SE
북한산두산위브2차,서울특별시 서대문구 홍은중앙로1길 100,3,0,EC000062;LU100866,2,다른 사업자(강한 의심),EC;LU
LG가산디지털센터,서울특별시 금천구 가산디지털1로 189,4,0,EV001760;LU001993,2,다른 사업자(강한 의심),EV;LU
행복한백화점,서울특별시 양천구 목동동로 309,0,2,GO000082;ST114701,2,다른 사업자(강한 의심),GO;ST
마포유수지공영주차장,서울특별시 마포구 마포대로1길 9,0,6,HE240192;ST114420,2,다른 사업자(강한 의심),HE;ST
장영당길 공영주차장,서울특별시 동대문구 천호대로71길 29,0,2,HM001509;KP005815,2,다른 사업자(강한 의심),HM;KP
신길경남아파트,서울특별시 영등포구 영등포로 351,5,0,HU200026;L3000046,2,다른 사업자(강한 의심),HU;L
노량진우성아파트,서울특별시 동작구 만양로8길 50,10,0,IN120032;PI711674,2,다른 사업자(강한 의심),IN;PI
CNCITY 타워,서울특별시 강남구 도곡로 218CNCITY타워,1,0,IVSECNCT;NESECNCT,2,다른 사업자(강한 의심),IVSECNCT;NESECNCT
용산KCC스위첸,서울특별시 용산구 백범로 275,2,0,KL001185;LU101715,2,다른 사업자(강한 의심),KL;LU
정릉한일유앤아이아파트,서울특별시 성북구 보국문로37길 14-5,3,0,KL001927;PI803208,2,다른 사업자(강한 의심),KL;PI
아현아이파크아파트,서울특별시 마포구 마포대로 246,5,0,KL001960;PI700643,2,다른 사업자(강한 의심),KL;PI
