station_name,address,slow_count,fast_count,n_ids,station_ids,최종판단,maker_match,makers,capacity_match,kw_detail,confidence,prefixes,operator_year_match,operator_detail,years
CNCITY 타워,서울특별시 강남구 도곡로 218CNCITY타워,1,0,2,IVSECNCT;NESECNCT,가능성 높음,동일,에바;에바,동일,IVSECNCT:[7.0] | NESECNCT:[7.0],다른 사업자(강한 의심),IVSECNCT;NESECNCT,다름,"IVSECNCT:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2024'],maker=['에바'] | NESECNCT:bnm=['에너넷'],busiNm=['인큐버스'],year=['2024'],maker=['에바']",2024;2024
CNCITY에너지 본사,대전광역시 중구 유등천동로 762,4,0,2,IVDJNCNC;NEDJNCNC,가능성 높음,동일,에바;에바,동일,"IVDJNCNC:[7.0, 7.0, 7.0, 7.0] | NEDJNCNC:[7.0, 7.0, 7.0, 7.0]",다른 사업자(강한 의심),IVDJNCNC;NEDJNCNC,다름,"IVDJNCNC:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2022'],maker=['에바'] | NEDJNCNC:bnm=['에너넷'],busiNm=['인큐버스'],year=['2022'],maker=['에바']",2022;2022
HD현대오일뱅크 강변현대주유소,서울특별시 용산구 원효로 9,0,1,2,OB000047;ST601467,가능성 높음,동일,클린일렉스;클린일렉스,동일,OB000047:[200.0] | ST601467:[200.0],다른 사업자(강한 의심),OB;ST,다름,"OB000047:bnm=['현대오일뱅크'],busiNm=['HD현대오일뱅크'],year=['2024'],maker=['클린일렉스'] | ST601467:bnm=['SK일렉링크'],busiNm=['SK일렉링크'],year=['2025'],maker=['클린일렉스']",2024;2025
HD현대오일뱅크 북악셀프주유소,서울특별시 성북구 정릉로 218,0,1,2,OB000048;ST601469,가능성 높음,동일,클린일렉스;클린일렉스,동일,OB000048:[200.0] | ST601469:[200.0],다른 사업자(강한 의심),OB;ST,다름,"OB000048:bnm=['현대오일뱅크'],busiNm=['HD현대오일뱅크'],year=['2024'],maker=['클린일렉스'] | ST601469:bnm=['SK일렉링크'],busiNm=['SK일렉링크'],year=['2025'],maker=['클린일렉스']",2024;2025
HD현대오일뱅크 신림LPG충전소,서울특별시 관악구 신림로 170,0,1,2,OB000068;ST601470,가능성 높음,동일,클린일렉스;클린일렉스,동일,OB000068:[200.0] | ST601470:[200.0],다른 사업자(강한 의심),OB;ST,다름,"OB000068:bnm=['현대오일뱅크'],busiNm=['HD현대오일뱅크'],year=['2024'],maker=['클린일렉스'] | ST601470:bnm=['SK일렉링크'],busiNm=['SK일렉링크'],year=['2025'],maker=['클린일렉스']",2024;2025
HD현대오일뱅크 올림픽셀프주유소,서울특별시 송파구 위례성대로 188,0,1,2,OB000031;ST601472,가능성 높음,동일,클린일렉스;클린일렉스,동일,OB000031:[200.0] | ST601472:[200.0],다른 사업자(강한 의심),OB;ST,다름,"OB000031:bnm=['현대오일뱅크'],busiNm=['HD현대오일뱅크'],year=['2024'],maker=['클린일렉스'] | ST601472:bnm=['SK일렉링크'],busiNm=['SK일렉링크'],year=['2025'],maker=['클린일렉스']",2024;2025
HD현대오일뱅크 하계주유소,서울특별시 노원구 노원로17길 29,0,1,2,OB000059;ST601473,가능성 높음,동일,클린일렉스;클린일렉스,동일,OB000059:[200.0] | ST601473:[200.0],다른 사업자(강한 의심),OB;ST,다름,"OB000059:bnm=['현대오일뱅크'],busiNm=['HD현대오일뱅크'],year=['2024'],maker=['클린일렉스'] | ST601473:bnm=['SK일렉링크'],busiNm=['SK일렉링크'],year=['2025'],maker=['클린일렉스']",2024;2025
가온비즈타워,대전광역시 대덕구 대화로 1201,12,1,2,IVDJGAON;NEDJGAON,가능성 높음,동일,에바;에바,동일,"IVDJGAON:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0] | NEDJGAON:[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 100.0]",다른 사업자(강한 의심),IVDJGAON;NEDJGAON,다름,"IVDJGAON:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2024'],maker=['에바'] | NEDJGAON:bnm=['에너넷'],busiNm=['인큐버스'],year=['2024'],maker=['에바']",2024;2024
강변래미안아파트,서울특별시 영등포구 버드나루로 130,5,0,2,KL002010;PI711627,가능성 높음,동일,클린일렉스;클린일렉스,동일,"KL002010:[7.0, 7.0, 7.0, 7.0, 7.0] | PI711627:[7.0, 7.0, 7.0, 7.0, 7.0]",다른 사업자(강한 의심),KL;PI,다름,"KL002010:bnm=['클린일렉스'],busiNm=['클린일렉스'],year=['2021'],maker=['클린일렉스'] | PI711627:bnm=['GS차지비'],busiNm=['GS차지비'],year=['2022'],maker=['클린일렉스']",2021;2022
교촌동636-1 공영주차장,대전광역시 유성구 교촌동 636-1교촌동636-1 공영주차장,2,0,2,IVDJNKY6;NEDJNKY6,가능성 높음,동일,에바;에바,동일,"IVDJNKY6:[7.0, 7.0] | NEDJNKY6:[7.0, 7.0]",다른 사업자(강한 의심),IVDJNKY;NEDJNKY,다름,"IVDJNKY6:bnm=['인큐버스'],busiNm=['인큐버스'],year=['2023'],maker=['에바'] | NEDJNKY6:bnm=['에너넷'],busiNm=['인큐버스'],year=['2023'],maker=['에바']",2023;2023
